timestamp_ms,frame_index,count,alert
00:00:000,0,445.749
00:00:400,10,490.043
00:00:800,20,497.943
00:01:200,30,510.046
00:01:600,40,493.284
00:02:000,50,480.357
00:02:400,60,471.563
00:02:800,70,524.136
00:03:200,80,557.830
00:03:600,90,603.510
00:04:000,100,570.587
00:04:400,110,560.066
00:04:800,120,537.563
00:05:200,130,598.647
00:05:600,140,603.402
00:06:000,150,616.957
00:05:833,140,0.000,lens_covered_or_extremely_dark
00:06:250,150,0.000,lens_covered_or_extremely_dark
00:06:666,160,0.000,lens_covered_or_extremely_dark
00:07:083,170,0.000,camera_frozen
00:07:500,180,0.000,camera_frozen